fighter_1,fighter_2,knockdowns_1,knockdowns_2,total_strikes_1,total_strikes_2,significant_strikes_1,significant_strikes_2,head_strikes_1,head_strikes_2,body_strikes_1,body_strikes_2,leg_strikes_1,leg_strikes_2,distance_strikes_1,distance_strikes_2,clinch_strikes_1,clinch_strikes_2,ground_strikes_1,ground_strikes_2,takedowns_1,takedowns_2,submission_attempts_1,submission_attempts_2,reversals_1,reversals_2,control_time_1,control_time_2,result,method,round,time,referee,ufc_stats_com_url
Pedro Munhoz,Jimmie Rivera,0,0,94 of 194,65 of 193,94 of 194,65 of 193,35 of 115,48 of 168,19 of 27,4 of 8,40 of 52,13 of 17,93 of 193,65 of 193,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 5,0,0,0,0,0:03,0:04,W,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/c2ee423d1f0b4f6f
Alex Caceres,Kevin Croom,0,0,97 of 121,26 of 67,48 of 68,16 of 51,33 of 49,10 of 44,11 of 13,1 of 2,4 of 6,5 of 5,30 of 46,14 of 46,12 of 14,2 of 5,6 of 8,0 of 0,1 of 1,1 of 16,1,0,1,1,3:44,7:32,W,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/6a0341234ecc4e87
Alexander Hernandez,Thiago Moises,0,0,50 of 205,53 of 183,50 of 205,53 of 183,15 of 152,36 of 155,18 of 33,5 of 11,17 of 20,12 of 17,50 of 204,53 of 183,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,0,0,0,0,0:00,0:00,L,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/3eac2d47ac252f4b
Alexis Davis,Sabina Mazo,0,0,128 of 196,71 of 173,49 of 83,64 of 165,8 of 37,50 of 149,4 of 5,5 of 7,37 of 41,9 of 9,46 of 78,64 of 165,0 of 0,0 of 0,3 of 5,0 of 0,3 of 3,0 of 1,0,0,0,0,8:50,0:00,W,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/a7315147a7022a93
Vince Cachero,Ronnie Lawrence,0,0,23 of 55,102 of 151,15 of 46,77 of 121,8 of 36,53 of 89,3 of 6,14 of 19,4 of 4,10 of 13,10 of 38,22 of 46,5 of 7,5 of 7,0 of 1,50 of 68,0 of 2,8 of 9,1,0,1,0,0:36,7:49,L,KO/TKO,3,2:38,Jerin Valel,http://ufcstats.com/fight-details/11a83369d49ad138
Dustin Jacoby,Maxim Grishin,0,2,60 of 141,80 of 172,57 of 137,66 of 156,25 of 88,31 of 110,7 of 15,8 of 16,25 of 34,27 of 30,55 of 133,59 of 144,2 of 4,2 of 5,0 of 0,5 of 7,0 of 0,0 of 2,0,0,0,0,0:48,1:16,W,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/bc86601cf781a89c
Curtis Blaydes,Derrick Lewis,0,1,28 of 52,7 of 23,28 of 52,7 of 23,18 of 42,6 of 21,3 of 3,1 of 2,7 of 7,0 of 0,25 of 47,4 of 20,3 of 5,1 of 1,0 of 0,2 of 2,0 of 3,0 of 0,0,0,0,0,0:15,0:00,L,KO/TKO,2,1:26,Herb Dean,http://ufcstats.com/fight-details/b12bc15f384ecc42
Ketlen Vieira,Yana Santos,0,0,35 of 51,215 of 247,7 of 16,47 of 60,3 of 10,7 of 15,3 of 4,30 of 35,1 of 2,10 of 10,3 of 11,8 of 11,4 of 5,21 of 24,0 of 0,18 of 25,3 of 8,0 of 0,0,0,0,0,8:38,5:09,L,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/a4814d682954e8ab
Charles Rosa,Darrick Minner,0,1,40 of 51,96 of 117,15 of 25,45 of 60,9 of 17,35 of 49,4 of 4,5 of 5,2 of 4,5 of 6,8 of 17,21 of 31,0 of 0,5 of 7,7 of 8,19 of 22,0 of 1,4 of 5,2,3,0,0,0:00,12:34,L,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/82243207b4dfce87
Aleksei Oleinik,Chris Daukaus,0,0,6 of 11,34 of 56,5 of 10,34 of 56,3 of 8,32 of 54,1 of 1,2 of 2,1 of 1,0 of 0,5 of 10,28 of 49,0 of 0,2 of 3,0 of 0,4 of 4,0 of 1,0 of 0,0,0,0,0,0:24,0:19,L,KO/TKO,1,1:55,Herb Dean,http://ufcstats.com/fight-details/8f7328fe18806fb0
